Auditorías de Configuración,,,,,,,,
Fecha:,5/3/18,,,,,,,
Encargado:,Santiago Valencia,,,,,,,
,,,,,,,,
,,,,,,,,
Actividad,Hora inicio,Tiempo estimado,Hora fin,Tiempo real,Errores,,,
Checar que la documentación realizada este en el repositorio correspondiente y sección correspondiente,13:04,5 min,13:07,3 min,La documentación se encuentra en su wiki.,,,
Checar que los documentos  subidos siga los estándares establecidos,13:07,3 min,13:10,3 min,Falta matriz de trazabilidad.,,,
Checar que los documentos que estén en el repositorio sean las versiones más actualizadas,13:10,10 min,13:12,12 min,Todo tiene la versión más reciente.,,,
Checar que se está siguiendo el estándar de no trabajar en develop directamente,13:13,5 min,13:15,2 min,Nadie trabaja en develop,,,
"Checar que el equipo tenga la versión de herramientas que vienen en la wiki, y si no esta en la wiki, versionarlo",13:15,5 min,13:16,1 min,"Todos tienen la versión más reciente, se revisó previamente.",,,
,,,,,,,,
,,,,,,,,
Tarea,Encargado,Fecha límite,,,,,,
Subir Matriz de Trazabilidad,David,9/3/18,,,,,,
Subir estimación function points,David,9/3/18,,,,,,
,,,,,,,,
,,,,,,,,
Documentos revisados:,,,,,,,,
,,,,,,,,
* Definición del proyecto,Sí,,,,,,,
* Propuesta de Proyecto,Sí,,,,,,,
* Matriz de requerimientos,Sí,,,,,,,
* Matriz de trazabilidad,No,,,,,,,
* Riesgos,Sí,,,,,,,
* Componentes del sistema,Sí,,,,,,,
* Flujo de vistas,Sí,,,,,,,
* Arquitectura inicial,Sí,,,,,,,
* Estimación de function points,No,,,,,,,
