Auditorías de Configuración,,,,,,,,,,
Fecha: 18 de Abril,,,,,,,,,,
Encargado: Mariana,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Actividad,Hora inicio,Tiempo estimado,Hora fin,Tiempo real,Errores,,Documentos a revisar:,CADHU,PanQAyuda,Libelulas
Checar que la documentación realizada este en el repositorio correspondiente y sección correspondiente,9:58,0:30,10:12,0:14,7,,* Definición del proyecto,Guía de estilos y estándares,* Estatus del Proyecto en la 1era iteración,* Estatus del Proyecto en la 1era iteración
Checar que los documentos subidos siga los estándares establecidos,9:58,0:30,10:12,0:14,1,,*Propuesta de Proyecto,* Estatus del Proyecto en la 1era iteración,,* Estatus del Proyecto en la 2da iteración
Checar que los documentos que estén en el repositorio sean las versiones más actualizadas,9:58,0:30,10:12,0:14,2,,* Matriz de trazabilidad,* Estatus del Proyecto en la 2da iteración,,
Checar que se está siguiendo el estándar de no trabajar en develop directamente,10:12,0:15,10:14,0:02,0,,* Riesgos,,,
"Checar que el equipo tenga la versión de herramientas que vienen en la wiki, y si no esta en la wiki, versionarlo",10:14,0:15,10:16,0:02,0,,* Componentes del sistema,,,
,,,,,,,* Flujo de vistas,,,
,,,,,,,* Arquitectura inicial,,,
Tarea,Encargado,Fecha límite,,,,,* Estimación de function points,,,
Actualizar Definición de arquitectura,Alejandro López,19 Abril ,,,,,* Plantilla de acciones correctivas,,,
Definición de Proyecto no está,Mariana,19 Abril ,,,,,* Estatus del Proyecto en la 1era iteración,,,
Project proposal no actualizado,Mariana,19 Abril ,,,,,* Estatus del Proyecto en la 2da iteración,,,
Quitar matriz de requerimientos,Mariana,19 Abril ,,,,,* Estatus del Proyecto general,,,
Link a modelo entidad relación roto,Mariana,19 Abril ,,,,,,,,
Falta estimación de function points,Mariana,19 Abril ,,,,,,,,
Falta Plantilla de acciones correcctivas,Mariana,19 Abril ,,,,,,,,
Falta Estatus del Proyecto en la 1era iteración,Mariana,19 Abril ,,,,,,,,
Falta Estatus del Proyecto en la 2da iteración,Mariana,19 Abril ,,,,,,,,
Falta Estatus del Proyecto general,Mariana,19 Abril ,,,,,,,,
