Auditoria Kanban,,,
Fecha:,03/05/10,,
Encargado:,Santiago,,
Hora de inicio:,11:17,,
Tiempo estimado:,0.25,,
Hora fin:,11:26,,
Tiempo real:,0.15,,
,,,
,,,
Actividad,Pan Q' Ayuda,Libelulas,CADHU
El work item stack esta priorizado,NO,SI,SI
Los items de trabajo se encuentran detallados,NO,NO,NO
Las tareas tienen asignado,NO,SI,SI
"El kanban tiene definidas las etapas: todo, done y doing",NO,SI,SI
El kanban esta actualizado,NO,SI,SI
,,,
,,,
Notas,,,
"No hay kanban en Pan Q' Ayuda, lo van a hacer para el 4 de mayo.",,,
