Auditor�_a planeaci�_n,,,,,
Tama̱o de salida estimada: 1 hoja,,,,,
,,,,,
,,,,,
"Actividades a realizar",Responsable,Tiempo estimado (min),Tiempo real (mins),Fecha de t̩rmino estimada, Fecha de t̩rmino real
Dar contexto a auditor,Daniel Amezcua,10,4,6 abril 2018,6 abril 2018
Lib̩lulas,,,,,
Verificar que haya un plan con actividades definidas,Valter N̼̱ez,3,3,6 de abril 2018,6 de abril 2018
"Verificar que cada actividad tiene su tiempo estimado, fecha de t̩rmino estimada",Valter N̼̱ez,3,1,6 de abril 2018,6 de abril 2018
Verificar que los riegsos son accesibles desde el plan,Valter N̼̱ez,3,1,6 de abril 2018,6 de abril 2018
Verificar que el involucramiento de los stakeholders se encuentra incluido en el plan,Valter N̼̱ez,3,1,6 de abril 2018,6 de abril 2018
Verificar que haya una versi�_n del plan en la Wiki,Valter N̼̱ez,3,1,6 de abril 2018,6 de abril 2018
CADHU,,,,,
Verificar que haya un plan con actividades definidas,Valter N̼̱ez,3,5,6 de abril 2018,6 de abril 2018
"Verificar que cada actividad tiene su tiempo estimado, fecha de t̩rmino estimada",Valter N̼̱ez,3,2,6 de abril 2018,6 de abril 2018
Verificar que los riegsos son accesibles desde el plan,Valter N̼̱ez,3,1,6 de abril 2018,6 de abril 2018
Verificar que el involucramiento de los stakeholders se encuentra incluido en el plan,Valter N̼̱ez,3,1,6 de abril 2018,6 de abril 2018
Verificar que haya una versi�_n del plan en la Wiki,Valter N̼̱ez,3,2,6 de abril 2018,6 de abril 2018
Pan Q' Ayuda,,,,,
Verificar que haya un plan con actividades definidas,Valter N̼̱ez,3,2,6 de abril 2018,6 de abril 2018
"Verificar que cada actividad tiene su tiempo estimado, fecha de t̩rmino estimada",Valter N̼̱ez,3,1,6 de abril 2018,6 de abril 2018
Verificar que los riegsos son accesibles desde el plan,Valter N̼̱ez,3,1,6 de abril 2018,6 de abril 2018
Verificar que el involucramiento de los stakeholders se encuentra incluido en el plan,Valter N̼̱ez,3,1,6 de abril 2018,6 de abril 2018
Verificar que haya una versi�_n del plan en la Wiki,Valter N̼̱ez,3,1,6 de abril 2018,6 de abril 2018
Pasar resultados a un documento,Valter N̼̱ez,15,9,6 de abril 2018,6 de abril 2018
,,,33,,
